Pose name,Pose_no,Label
1x1z_decoy_469,5,0
4q6d_decoy_626,3,0
4f3k_decoy_112,2,0
4kil_decoy_643,5,0
3cl0_decoy_190,2,0
3mf5_decoy_158,5,0
1m2p_decoy_21,4,0
6eyb_decoy_266,1,0
4efs_decoy_104,4,0
4j51_decoy_241,4,0
1kzk_decoy_120,3,0
4kz7_decoy_479,2,0
4o9v_decoy_41,5,0
1rd4_decoy_877,4,0
1d3d_decoy_417,1,0
3v2n_decoy_213,2,0
5j2x_decoy_568,3,0
1bcd_decoy_434,1,0
2j7h_decoy_282,3,0
2arm_decoy_757,2,0
4jal_decoy_564,5,0
3upk_decoy_849,3,0
5f61_decoy_606,2,0
3djf_decoy_338,2,0
1rbo_decoy_262,4,0
4hw3_decoy_10,3,0
5sz5_decoy_214,4,0
6ej2_decoy_498,4,0
4fcq_decoy_431,5,0
4wn0_decoy_532,4,0
2cf9_decoy_431,3,0
1u7t_decoy_414,3,0
4q1y_decoy_305,4,0
4crb_decoy_14,5,0
1ezq_decoy_407,5,0
5nk2_decoy_336,3,0
5d24_decoy_765,3,0
1yq7_decoy_231,4,0
3mhc_decoy_324,3,0
1gno_decoy_347,4,0
2zda_decoy_349,4,0
5i8g_decoy_759,1,0
2zjf_decoy_142,4,0
4x5r_decoy_119,3,0
1swg_decoy_892,4,0
3u92_decoy_589,2,0
4qer_decoy_64,5,0
2ay3_decoy_177,4,0
3w9r_decoy_429,1,0
3s43_decoy_494,3,0
2jkp_decoy_435,5,0
2ojg_decoy_361,5,0
4ogj_decoy_626,4,0
3rsx_decoy_746,5,0
3p3r_decoy_413,2,0
2b3b_decoy_55,1,0
3ta1_decoy_521,1,0
3d51_decoy_480,4,0
1erb_decoy_521,4,0
2nt7_decoy_226,5,0
2uyn_decoy_447,5,0
4f9y_decoy_528,3,0
5yl2_decoy_92,3,0
3qto_decoy_527,4,0
1utl_decoy_174,3,0
6abx_decoy_105,1,0
1u3u_decoy_55,5,0
5sz0_decoy_682,4,0
1b8y_decoy_656,3,0
3o9p_decoy_84,1,0
1q65_decoy_289,2,0
1qy2_decoy_726,2,0
2qi0_decoy_516,3,0
3ccz_decoy_391,4,0
6gjn_decoy_37,4,0
5kr0_decoy_455,2,0
3k5v_decoy_151,4,0
2hnc_decoy_71,1,0
4cwn_decoy_709,4,0
2fxs_decoy_110,2,0
5lle_decoy_314,3,0
5d3c_decoy_788,5,0
2bes_decoy_438,4,0
5lz5_decoy_748,4,0
1gym_decoy_108,4,0
1hih_decoy_173,3,0
4o3f_decoy_379,4,0
2xb8_decoy_271,2,0
4phu_decoy_374,4,0
3be9_decoy_41,2,0
5g4n_decoy_733,4,0
6fo5_decoy_529,5,0
6b1k_decoy_174,2,0
4dsu_decoy_224,2,0
3le9_decoy_494,2,0
5vcy_decoy_824,5,0
5c3r_decoy_47,1,0
1m48_decoy_301,3,0
5c3p_decoy_269,4,0
3hl8_decoy_313,2,0
2g86_decoy_386,5,0
1utm_decoy_332,4,0
3shz_decoy_24,2,0
4msg_decoy_300,5,0
4cft_decoy_89,4,0
3gss_decoy_507,2,0
6b5g_decoy_309,4,0
2xys_decoy_29,2,0
4ozj_decoy_556,3,0
3ivc_decoy_619,5,0
3g31_decoy_699,1,0
1vc9_decoy_70,4,0
3ctt_decoy_591,2,0
5ih9_decoy_390,2,0
5jkg_decoy_296,3,0
1ro6_decoy_298,5,0
3lea_decoy_639,5,0
3ga5_decoy_636,1,0
2bvd_decoy_450,1,0
1ado_decoy_294,5,0
1q65_decoy_755,2,0
6ckw_decoy_19,5,0
2cjp_decoy_211,5,0
1nhz_decoy_318,2,0
5llg_decoy_134,5,0
4bah_decoy_376,3,0
3qox_decoy_20,4,0
2wos_decoy_73,2,0
5jvi_decoy_376,5,0
4a7i_decoy_2,5,0
1ajn_decoy_89,2,0
1tnh_decoy_357,4,0
6cwh_decoy_461,1,0
3ucl_decoy_78,4,0
4o09_decoy_535,5,0
5mu6_decoy_176,5,0
4fm8_decoy_743,5,0
5ufr_decoy_219,1,0
5o5a_decoy_696,3,0
2ccb_decoy_345,2,0
2isj_decoy_831,2,0
3n76_decoy_518,3,0
4bt4_decoy_164,4,0
1nf3_decoy_804,3,0
1ajx_decoy_930,4,0
4abb_decoy_94,5,0
6csq_decoy_260,4,0
4zek_decoy_139,5,0
5o22_decoy_641,5,0
1lee_decoy_937,5,0
6bgc_decoy_222,3,0
1rsd_decoy_450,4,0
3djp_decoy_524,1,0
2yfa_decoy_106,1,0
6fui_decoy_311,1,0
5h9q_decoy_240,3,0
2i4z_decoy_904,3,0
4do1_decoy_626,5,0
3h22_decoy_425,1,0
2fw6_decoy_885,2,0
5lli_decoy_701,2,0
4qbk_decoy_300,4,0
3fur_decoy_402,2,0
2r43_decoy_813,5,0
5lji_decoy_261,3,0
1s17_decoy_675,3,0
1e1x_decoy_463,2,0
3f34_decoy_326,4,0
1ydd_decoy_507,5,0
4bpm_decoy_345,5,0
1ydb_decoy_72,3,0
4c6u_decoy_395,5,0
2pu1_decoy_153,2,0
3h4v_decoy_598,2,0
5b25_decoy_776,2,0
5xo7_decoy_211,3,0
4mo8_decoy_209,3,0
6fmc_decoy_356,3,0
1amk_decoy_508,3,0
4ij1_decoy_346,5,0
4cgi_decoy_390,5,0
3vfa_decoy_692,3,0
2r0h_decoy_294,5,0
4pqa_decoy_46,1,0
1ftm_decoy_747,4,0
4eo6_decoy_566,3,0
5hvt_decoy_9,3,0
5dxt_decoy_99,4,0
2c1p_decoy_498,2,0
3k8d_decoy_527,5,0
6cpw_decoy_798,1,0
2hzy_decoy_611,1,0
1mmr_decoy_669,3,0
1ppk_decoy_827,5,0
2pov_decoy_31,5,0
3u9q_decoy_115,1,0
5cas_decoy_679,2,0
3nb5_decoy_665,3,0
2clh_decoy_229,4,0
5fsc_decoy_100,4,0
5cqu_decoy_641,3,0
4zzz_decoy_316,2,0
1tlp_decoy_364,5,0
4lj5_decoy_24,3,0
3d50_decoy_152,4,0
3fvn_decoy_595,3,0
4jsz_decoy_462,4,0
1nox_decoy_157,2,0
4z2b_decoy_602,4,0
5kma_decoy_426,1,0
4c0c_decoy_835,1,0
5ork_decoy_308,1,0
5jt9_decoy_365,4,0
2zda_decoy_7,3,0
1r1j_decoy_879,3,0
1kv1_decoy_116,2,0
4ymb_decoy_113,4,0
4l77_decoy_261,4,0
4yhm_decoy_53,3,0
1mh5_decoy_72,2,0
1f73_decoy_496,1,0
2r2w_decoy_527,3,0
3vhk_decoy_472,5,0
1ndv_decoy_502,3,0
5jgq_decoy_355,1,0
4y79_decoy_718,4,0
4bck_decoy_190,2,0
1pa9_decoy_591,1,0
3sfg_decoy_593,5,0
5j47_decoy_251,4,0
5uex_decoy_360,1,0
2xm1_decoy_799,5,0
3lzz_decoy_221,5,0
1cfv_decoy_233,4,0
6agt_decoy_140,2,0
3ai8_decoy_266,4,0
1ado_decoy_328,4,0
5fso_decoy_255,2,0
6eiq_decoy_765,2,0
4h42_decoy_501,2,0
4rd3_decoy_310,4,0
6epz_decoy_78,4,0
2tmn_decoy_801,3,0
5cqt_decoy_547,4,0
4az5_decoy_534,4,0
188l_decoy_171,2,0
2yoo_decoy_846,4,0
1usn_decoy_305,2,0
4ht2_decoy_793,2,0
4i8z_decoy_208,4,0
2c80_decoy_400,5,0
2o5z_decoy_634,1,0
5fa6_decoy_676,5,0
2xya_decoy_386,2,0
3t03_decoy_209,5,0
4o61_decoy_246,1,0
3jvs_decoy_749,1,0
5g5f_decoy_767,3,0
5d45_decoy_535,4,0
1dzk_decoy_184,3,0
5mn1_decoy_310,3,0
5sz1_decoy_793,3,0
2zgx_decoy_73,4,0
1i9n_decoy_502,1,0
3dyo_decoy_145,2,0
4djw_decoy_459,1,0
1rmz_decoy_182,2,0
1s89_decoy_127,5,0
5nih_decoy_770,1,0
4g0y_decoy_309,4,0
6a17_decoy_85,5,0
1tom_decoy_535,4,0
1nja_decoy_128,4,0
1alw_decoy_415,1,0
5a5q_decoy_790,3,0
1yc1_decoy_9,5,0
1em6_decoy_852,5,0
3oyw_decoy_734,1,0
5ucj_decoy_272,3,0
3ebp_decoy_454,5,0
5kr2_decoy_137,1,0
1g1d_decoy_425,5,0
4did_decoy_302,1,0
1wcq_decoy_171,2,0
1nja_decoy_605,4,0
2qd8_decoy_623,4,0
3iu9_decoy_678,2,0
1i5r_decoy_165,1,0
3zxr_decoy_93,4,0
2nmz_decoy_828,5,0
2cbu_decoy_411,2,0
4zwz_decoy_614,4,0
1q0h_decoy_830,3,0
5g5f_decoy_312,4,0
5eqp_decoy_57,3,0
5jkg_decoy_472,2,0
5nk9_decoy_517,2,0
5h1v_decoy_367,5,0
4m0r_decoy_539,1,0
3pbb_decoy_329,1,0
6fp4_decoy_439,4,0
1k1n_decoy_182,5,0
2wer_decoy_101,1,0
2hhn_decoy_55,4,0
2wky_decoy_792,2,0
3st5_decoy_451,1,0
7upj_decoy_170,2,0
3ozp_decoy_29,3,0
1fcx_decoy_46,5,0
3mss_decoy_769,3,0
2wr8_decoy_711,3,0
4gj2_decoy_529,2,0
1os5_decoy_649,1,0
5fs0_decoy_198,3,0
2nnq_decoy_330,5,0
5ukl_decoy_423,3,0
3d6p_decoy_620,3,0
5eou_decoy_259,1,0
1qbv_decoy_367,5,0
3f80_decoy_311,3,0
1y1z_decoy_480,1,0
3nht_decoy_732,4,0
3o9i_decoy_599,3,0
4tq3_decoy_185,2,0
3o9a_decoy_436,5,0
1odi_decoy_418,2,0
2i6a_decoy_390,1,0
3muz_decoy_318,4,0
2ymd_decoy_44,2,0
4ucc_decoy_124,2,0
4cu1_decoy_383,4,0
1y3v_decoy_171,1,0
1g35_decoy_288,1,0
5zbz_decoy_767,3,0
4k0o_decoy_156,3,0
2qd7_decoy_874,2,0
5d3l_decoy_787,5,0
1h1s_decoy_615,5,0
2cc7_decoy_510,5,0
3aas_decoy_355,1,0
3pvw_decoy_245,4,0
3ozs_decoy_435,2,0
1f4g_decoy_523,5,0
2i4u_decoy_613,5,0
3lk8_decoy_716,2,0
5oei_decoy_98,5,0
4f2q_decoy_134,2,0
3d0e_decoy_502,3,0
2pym_decoy_290,2,0
5nze_decoy_453,3,0
4qp2_decoy_85,3,0
5d25_decoy_652,4,0
4b6p_decoy_316,5,0
1rm0_decoy_720,3,0
4mul_decoy_184,2,0
2gbp_decoy_189,4,0
6h34_decoy_149,4,0
5cqt_decoy_422,2,0
1bxr_decoy_316,5,0
5mlj_decoy_789,4,0
2ceq_decoy_377,2,0
1nq7_decoy_100,2,0
3e6y_decoy_318,1,0
1ghz_decoy_413,3,0
3p4v_decoy_455,2,0
3fvn_decoy_21,4,0
2ql9_decoy_108,2,0
5cc2_decoy_612,1,0
3n7o_decoy_550,2,0
3wud_decoy_478,5,0
4e4n_decoy_36,3,0
4zzy_decoy_220,1,0
5fa6_decoy_114,4,0
2zjw_decoy_248,1,0
1fdq_decoy_25,5,0
5d3h_decoy_472,4,0
1ag9_decoy_538,3,0
2vvu_decoy_297,3,0
5otr_decoy_575,5,0
1li2_decoy_102,4,0
6a56_decoy_456,1,0
5caq_decoy_813,1,0
3t64_decoy_63,3,0
1qf0_decoy_313,3,0
4mr3_decoy_147,5,0
2qtn_decoy_47,5,0
4ipj_decoy_584,5,0
2gh9_decoy_483,1,0
1qft_decoy_405,4,0
4pop_decoy_596,5,0
3ctt_decoy_362,1,0
5eh8_decoy_590,5,0
1xh4_decoy_280,2,0
4hdp_decoy_432,1,0
6bs3_decoy_496,2,0
5etb_decoy_299,2,0
2tmn_decoy_444,5,0
5gj9_decoy_318,3,0
1msm_decoy_836,4,0
3c1x_decoy_192,5,0
1t31_decoy_402,3,0
4leq_decoy_504,5,0
5cuq_decoy_16,1,0
5ayt_decoy_27,1,0
1lke_decoy_818,4,0
6eln_decoy_408,4,0
5z7b_decoy_389,3,0
3gcs_decoy_703,4,0
4l77_decoy_239,1,0
4qjw_decoy_415,1,0
1jq3_decoy_293,4,0
4ek9_decoy_672,5,0
1f3f_decoy_526,1,0
4ibd_decoy_579,1,0
5wuu_decoy_684,4,0
5e2r_decoy_535,5,0
1u71_decoy_375,4,0
1nw4_decoy_686,2,0
4mgd_decoy_495,4,0
4u0s_decoy_70,3,0
2ya6_decoy_101,3,0
4cd0_decoy_315,1,0
5kad_decoy_560,1,0
4w9d_decoy_311,5,0
1xkk_decoy_178,1,0
3b4p_decoy_570,3,0
4css_decoy_714,2,0
3e2m_decoy_604,1,0
1u3u_decoy_157,4,0
5i7y_decoy_649,2,0
2o5z_decoy_160,5,0
3qvv_decoy_419,2,0
4dld_decoy_497,4,0
4nh7_decoy_185,2,0
6r7d_decoy_107,2,0
3x00_decoy_559,3,0
5mpk_decoy_11,2,0
4cd0_decoy_446,3,0
4d81_decoy_141,3,0
2bz6_decoy_864,3,0
1y3n_decoy_325,2,0
4u70_decoy_235,5,0
1ppc_decoy_563,2,0
3ozv_decoy_63,3,0
1fkg_decoy_86,4,0
2isj_decoy_751,4,0
1afl_decoy_208,4,0
6ayq_decoy_76,1,0
4j36_decoy_321,1,0
3o75_decoy_693,1,0
5ant_decoy_104,4,0
2xc0_decoy_672,4,0
3f33_decoy_128,3,0
4rr7_decoy_391,5,0
4msn_decoy_568,4,0
4n8q_decoy_333,5,0
5etb_decoy_537,2,0
6ob5_decoy_77,5,0
6cpa_decoy_841,4,0
4fp1_decoy_382,4,0
2o1c_decoy_499,3,0
4pee_decoy_569,5,0
2vuk_decoy_717,3,0
2jdu_decoy_566,4,0
1o9w_decoy_760,5,0
2bpm_decoy_434,4,0
4eoh_decoy_139,5,0
5n2z_decoy_330,5,0
5f1v_decoy_5_deep,1,0
1o2n_decoy_94,2,0
1syi_decoy_872,2,0
2pym_decoy_298,4,0
3k5v_decoy_723,4,0
3ioc_decoy_660,1,0
4idn_decoy_33,1,0
4d81_decoy_475,1,0
5vja_decoy_106,5,0
5alb_decoy_260,5,0
3sww_decoy_716,1,0
2qe4_decoy_5,4,0
1jvu_decoy_477,5,0
4xk9_decoy_406,2,0
2hf9_decoy_187,1,0
6h2z_decoy_863,2,0
2avs_decoy_514,4,0
4ayp_decoy_733,1,0
3ldq_decoy_365,1,0
6m7x_decoy_253,5,0
1bnw_decoy_575,3,0
5u11_decoy_636,4,0
2q8m_decoy_382,1,0
5cxa_decoy_820,3,0
1sw2_decoy_373,2,0
6szp_decoy_238,4,0
3hfb_decoy_332,1,0
4pp3_decoy_931,3,0
4mc1_decoy_172,3,0
4jsz_decoy_671,4,0
2ymd_decoy_617,5,0
3hll_decoy_80,1,0
2nn7_decoy_913,5,0
2ypi_decoy_402,5,0
3fur_decoy_625,4,0
3ix9_decoy_685,3,0
2w66_decoy_394,2,0
4azb_decoy_729,2,0
5wl0_decoy_427,4,0
4gkh_decoy_382,4,0
5n31_decoy_716,5,0
5qay_decoy_267,4,0
5ulp_decoy_301,4,0
4zw5_decoy_811,5,0
2p16_decoy_278,3,0
4cjp_decoy_371,5,0
6h8s_decoy_1_deep,5,0
3f70_decoy_329,2,0
1sr7_decoy_121,3,0
6ghh_decoy_206,5,0
5c5h_decoy_59,1,0
3vh9_decoy_28,2,0
4w52_decoy_93,3,0
2qm9_decoy_752,3,0
2iko_decoy_543,2,0
3cyz_decoy_726,1,0
4b5w_decoy_146,5,0
7upj_decoy_636,1,0
1cfv_decoy_515,3,0
4j7d_decoy_432,5,0
2p53_decoy_163,3,0
6cwn_decoy_440,5,0
3s43_decoy_728,5,0
5wgp_decoy_34,2,0
3t5u_decoy_356,3,0
6fe0_decoy_584,2,0
5eij_decoy_448,3,0
6r1b_decoy_16,4,0
1drk_decoy_206,2,0
3s45_decoy_245,5,0
2qwd_decoy_737,3,0
1c1r_decoy_103,5,0
4oak_decoy_460,3,0
2jjb_decoy_520,2,0
3uxm_decoy_203,4,0
3lpk_decoy_112,1,0
3ng4_decoy_134,5,0
2qtg_decoy_259,5,0
3eft_decoy_612,5,0
5d21_decoy_552,4,0
5ehq_decoy_669,3,0
1ypg_decoy_414,1,0
3q71_decoy_32,4,0
4km2_decoy_792,4,0
2uyn_decoy_435,1,0
2yhw_decoy_754,2,0
4oak_decoy_98,3,0
3da9_decoy_791,4,0
4css_decoy_786,2,0
6czc_decoy_529,2,0
5vyy_decoy_250,1,0
1ur9_decoy_149,1,0
6f9v_decoy_477,5,0
5dhu_decoy_211,3,0
5zkc_decoy_772,3,0
4uoh_decoy_304,5,0
2hk5_decoy_879,2,0
1g74_decoy_6_deep,2,0
4zzd_decoy_347,4,0
4clj_decoy_10,4,0
2flr_decoy_4,5,0
5cuq_decoy_320,4,0
1m2x_decoy_43,4,0
3k2f_decoy_773,2,0
1xka_decoy_575,5,0
2zwz_decoy_304,1,0
3hig_decoy_454,5,0
2w47_decoy_153,3,0
3hvi_decoy_559,5,0
6g34_decoy_331,3,0
2bpm_decoy_464,2,0
4orm_decoy_208,1,0
5hbn_decoy_274,2,0
3ies_decoy_302,4,0
2f7o_decoy_48,4,0
1kqb_decoy_146,3,0
4hf4_decoy_343,3,0
4b73_decoy_810,3,0
4u8w_decoy_425,2,0
2aac_decoy_323,3,0
2azr_decoy_438,2,0
5hcv_decoy_565,2,0
4kp8_decoy_55,1,0
3c6k_decoy_407,3,0
1pfy_decoy_600,2,0
6gu6_decoy_201,2,0
3fj7_decoy_566,4,0
3dnt_decoy_211,4,0
5tfx_decoy_339,5,0
4i8z_decoy_816,5,0
3bxh_decoy_157,3,0
5cu4_decoy_727,1,0
4xtx_decoy_485,1,0
1c5c_decoy_36,4,0
5jsg_decoy_280,2,0
3nu6_decoy_99,2,0
4itp_decoy_233,4,0
1g45_decoy_253,2,0
4h3j_decoy_47,2,0
4aaw_decoy_572,1,0
4afg_decoy_715,1,0
4nyf_decoy_226,1,0
1cs4_decoy_686,5,0
5e74_decoy_247,1,0
4ua8_decoy_518,3,0
1mfd_decoy_368,4,0
4ax9_decoy_171,3,0
3f7h_decoy_485,1,0
1ro6_decoy_911,3,0
1ugw_decoy_70,5,0
3uug_decoy_336,3,0
1kav_decoy_414,5,0
3nes_decoy_109,2,0
2afx_decoy_536,4,0
2nx1_decoy_466,5,0
3arx_decoy_499,3,0
6b7b_decoy_137,5,0
5htz_decoy_721,5,0
2zjw_decoy_541,1,0
3djk_decoy_843,1,0
5zyn_decoy_462,1,0
4k4j_decoy_313,4,0
3v78_decoy_752,5,0
1bn1_decoy_325,2,0
6epa_decoy_239,2,0
4q19_decoy_65,3,0
3uo4_decoy_160,3,0
3m3z_decoy_345,5,0
3jvr_decoy_756,5,0
1fao_decoy_333,1,0
4bs0_decoy_474,2,0
4zbi_decoy_393,4,0
5n58_decoy_161,3,0
5v13_decoy_845,1,0
1gnn_decoy_234,1,0
5cp5_decoy_465,5,0
1m48_decoy_368,2,0
5ekm_decoy_771,2,0
4jzx_decoy_80,2,0
5mnr_decoy_210,4,0
4gid_decoy_307,5,0
3d78_decoy_100,4,0
5dqe_decoy_96,1,0
4y24_decoy_152,5,0
2e91_decoy_124,3,0
6cpa_decoy_763,5,0
1v2s_decoy_82,2,0
5cuq_decoy_76,1,0
2v2v_decoy_28,4,0
1mfi_decoy_746,3,0
3kwa_decoy_10_deep,3,0
4llk_decoy_704,1,0
5aoj_decoy_89,4,0
3zdh_decoy_113,3,0
3g3r_decoy_417,5,0
1gro_decoy_253,3,0
6ecz_decoy_324,5,0
5xxh_decoy_18,5,0
2dri_decoy_182,3,0
2pqc_decoy_179,4,0
3ocp_decoy_286,2,0
5dgw_decoy_346,4,0
3l3l_decoy_164,2,0
4yz5_decoy_710,5,0
6jtc_decoy_629,5,0
5ey4_decoy_222,1,0
4b5s_decoy_199,2,0
4ozj_decoy_472,5,0
3oe4_decoy_735,2,0
4lzr_decoy_766,4,0
5zcu_decoy_179,5,0
6qxd_decoy_747,3,0
2ptz_decoy_633,1,0
3sur_decoy_51,2,0
2byr_decoy_155,1,0
5ie3_decoy_177,3,0
1k1l_decoy_146,4,0
3s0d_decoy_193,4,0
1zoh_decoy_455,5,0
1det_decoy_606,2,0
3jup_decoy_411,3,0
4dfg_decoy_488,3,0
1fvt_decoy_113,1,0
3l5r_decoy_27,1,0
4ewn_decoy_670,2,0
4kow_decoy_507,4,0
6bhv_decoy_612,5,0
3d78_decoy_623,4,0
1i1e_decoy_54,2,0
5fsy_decoy_517,5,0
4oic_decoy_11,3,0
6hly_decoy_538,1,0
5anu_decoy_422,5,0
6f28_decoy_278,5,0
2j9l_decoy_74,5,0
4inb_decoy_802,5,0
2j27_decoy_637,1,0
4rql_decoy_310,3,0
5eis_decoy_843,5,0
4trc_decoy_254,1,0
3shc_decoy_381,4,0
4fk6_decoy_409,4,0
6gzd_decoy_796,1,0
4ido_decoy_617,4,0
1ejn_decoy_255,3,0
4djv_decoy_398,5,0
1mfd_decoy_97,1,0
2pwc_decoy_895,3,0
2cc7_decoy_800,1,0
1z95_decoy_501,3,0
2hzl_decoy_114,3,0
2xab_decoy_228,3,0
5e2s_decoy_878,3,0
5eqy_decoy_7_deep,4,0
5nk9_decoy_233,4,0
3nu3_decoy_519,3,0
4dcs_decoy_82,5,0
5mgk_decoy_58,5,0
5ew9_decoy_855,2,0
1riw_decoy_100,3,0
3m96_decoy_769,5,0
5tva_decoy_120,2,0
6cbg_decoy_457,3,0
3kmy_decoy_235,4,0
5ef7_decoy_838,5,0
1xws_decoy_888,2,0
1g2k_decoy_127,5,0
4ucc_decoy_569,3,0
5f90_decoy_325,4,0
1q5k_decoy_772,3,0
4rqk_decoy_637,5,0
5fl4_decoy_330,1,0
5nw0_decoy_654,3,0
3nx7_decoy_133,5,0
5nn5_decoy_431,2,0
5f9b_decoy_505,5,0
5eh5_decoy_84,2,0
5f9b_decoy_143,1,0
1mrw_decoy_160,2,0
1bn3_decoy_104,3,0
3kv2_decoy_502,2,0
6ckr_decoy_700,1,0
3ap4_decoy_72,1,0
6upj_decoy_649,3,0
2qpq_decoy_75,4,0
6o1g_decoy_629,4,0
1jaq_decoy_64,2,0
3mhc_decoy_86,1,0
2amt_decoy_70,2,0
1sqi_decoy_421,1,0
1re9_decoy_118,2,0
1odj_decoy_238,2,0
3pcn_decoy_52,3,0
2xpk_decoy_96,5,0
3nex_decoy_196,1,0
6b59_decoy_640,1,0
1zos_decoy_618,2,0
4r4c_decoy_373,5,0
1m5w_decoy_741,3,0
1f5k_decoy_76,5,0
4ufk_decoy_205,3,0
4or6_decoy_612,2,0
4wrb_decoy_472,5,0
4uyf_decoy_467,4,0
5nkc_decoy_628,3,0
4heg_decoy_177,5,0
2zxd_decoy_76,3,0
1vpo_decoy_843,1,0
1oq5_decoy_576,2,0
3qwi_decoy_578,2,0
5fa6_decoy_58,3,0
4a4x_decoy_424,1,0
6e8z_decoy_314,3,0
3mwl_decoy_92,3,0
2vkm_decoy_517,2,0
4buq_decoy_564,1,0
4q1a_decoy_40,1,0
2rin_decoy_473,3,0
5am7_decoy_265,1,0
4do5_decoy_90,3,0
5ime_decoy_179,5,0
4d3h_decoy_6_deep,5,0
4kax_decoy_561,1,0
3qvv_decoy_516,5,0
3dp9_decoy_719,3,0
4qpd_decoy_860,1,0
4qmn_decoy_159,1,0
