Pose_name,PDBCode,Ligand no.,Pose_no,rmsd,label_models_58,Use_in_models_58,number
1ai5_rdkit_ligand_01,PDB_1ai5,24,1,0.504872337,0,1,115
1ai5_rdkit_ligand_02,PDB_1ai5,24,2,4.705567668,0,1,116
1ai5_rdkit_ligand_03,PDB_1ai5,24,3,4.954885437,0,1,117
1ai5_rdkit_ligand_04,PDB_1ai5,24,4,4.963167219,0,1,118
1ai7_rdkit_ligand_03,PDB_1ai7,25,3,0.518785257,0,1,119
1ai7_rdkit_ligand_04,PDB_1ai7,25,4,0.520407121,0,1,120
1ai7_rdkit_ligand_08,PDB_1ai7,25,8,1.998447933,0,1,121
1ai7_rdkit_ligand_10,PDB_1ai7,25,10,8.23511706,0,1,122
1ai7_rdkit_ligand_11,PDB_1ai7,25,11,8.23947846,0,1,123
1ai7_rdkit_ligand_12,PDB_1ai7,25,12,8.332534188,0,1,124
1aid_rdkit_ligand_01,PDB_1aid,26,1,10.60247838,0,1,125
1aid_rdkit_ligand_02,PDB_1aid,26,2,10.31619585,0,1,126
1aid_rdkit_ligand_03,PDB_1aid,26,3,10.324702,0,1,127
1aid_rdkit_ligand_11,PDB_1aid,26,11,1.094649227,1,1,128
1aid_rdkit_ligand_17,PDB_1aid,26,17,1.828211723,1,1,129
1aj7_rdkit_ligand_01,PDB_1aj7,27,1,8.204758884,0,1,130
1aj7_rdkit_ligand_03,PDB_1aj7,27,3,8.114224187,0,1,131
1aj7_rdkit_ligand_04,PDB_1aj7,27,4,8.183238402,0,1,132
1aj7_rdkit_ligand_06,PDB_1aj7,27,6,1.591905431,0,1,133
1aj7_rdkit_ligand_07,PDB_1aj7,27,7,1.653478697,0,1,134
1aj7_rdkit_ligand_08,PDB_1aj7,27,8,1.241224677,0,1,135
1aj7_rdkit_ligand_09,PDB_1aj7,27,9,1.259374071,0,1,136
1aj7_rdkit_ligand_10,PDB_1aj7,27,10,1.777541519,0,1,137
1ajn_rdkit_ligand_01,PDB_1ajn,28,1,5.863625513,0,1,138
1ajn_rdkit_ligand_02,PDB_1ajn,28,2,1.477215858,0,1,139
1ajn_rdkit_ligand_03,PDB_1ajn,28,3,1.481172664,0,1,140
1ajn_rdkit_ligand_04,PDB_1ajn,28,4,1.508280172,0,1,141
1ajn_rdkit_ligand_05,PDB_1ajn,28,5,0.884676168,0,1,142
1ajn_rdkit_ligand_06,PDB_1ajn,28,6,5.865883126,0,1,143
1ajn_rdkit_ligand_07,PDB_1ajn,28,7,1.573688318,0,1,144
1ajn_rdkit_ligand_08,PDB_1ajn,28,8,5.182749523,0,1,145
1ajp_rdkit_ligand_05,PDB_1ajp,29,5,5.06277503,0,1,146
1ajp_rdkit_ligand_06,PDB_1ajp,29,6,5.021989546,0,1,147
1ajp_rdkit_ligand_07,PDB_1ajp,29,7,1.663472447,0,1,148
1ajp_rdkit_ligand_08,PDB_1ajp,29,8,5.910009743,0,1,149
1ajp_rdkit_ligand_10,PDB_1ajp,29,10,1.064312806,0,1,150
1ajq_rdkit_ligand_01,PDB_1ajq,30,1,1.415749978,0,1,151
1ajq_rdkit_ligand_02,PDB_1ajq,30,2,0.249116662,0,1,152
1ajq_rdkit_ligand_03,PDB_1ajq,30,3,1.744361902,0,1,153
1ajq_rdkit_ligand_04,PDB_1ajq,30,4,1.159833178,0,1,154
1ajq_rdkit_ligand_05,PDB_1ajq,30,5,7.000991081,0,1,155
1ajq_rdkit_ligand_06,PDB_1ajq,30,6,6.87452345,0,1,156
1ajq_rdkit_ligand_07,PDB_1ajq,30,7,6.342740041,0,1,157
1ajq_rdkit_ligand_17,PDB_1ajq,30,17,1.615472411,0,1,158
1ajv_rdkit_ligand_04,PDB_1ajv,31,4,7.515033113,0,1,159
1ajv_rdkit_ligand_07,PDB_1ajv,31,7,9.913629928,0,1,160
1ajv_rdkit_ligand_09,PDB_1ajv,31,9,7.75522406,0,1,161
1ajx_rdkit_ligand_01,PDB_1ajx,32,1,4.52537691,0,1,162
1akv_rdkit_ligand_01,PDB_1akv,33,1,0.492574867,1,1,163
1akv_rdkit_ligand_02,PDB_1akv,33,2,4.664775125,0,1,164
1akv_rdkit_ligand_03,PDB_1akv,33,3,4.678995226,0,1,165
1akv_rdkit_ligand_05,PDB_1akv,33,5,5.039314101,0,1,166
1al8_rdkit_ligand_01,PDB_1al8,34,1,7.34546129,0,1,167
1al8_rdkit_ligand_02,PDB_1al8,34,2,7.584693204,0,1,168
1al8_rdkit_ligand_03,PDB_1al8,34,3,8.070203997,0,1,169
1alw_rdkit_ligand_09,PDB_1alw,35,9,1.943259225,1,1,170
1alw_rdkit_ligand_14,PDB_1alw,35,14,5.303275144,0,1,171
1alw_rdkit_ligand_16,PDB_1alw,35,16,1.679493574,1,1,172
1alw_rdkit_ligand_17,PDB_1alw,35,17,1.912740268,1,1,173
1alw_rdkit_ligand_19,PDB_1alw,35,19,4.778774817,0,1,174
1alw_rdkit_ligand_20,PDB_1alw,35,20,4.770600713,0,1,175
1amk_rdkit_ligand_01,PDB_1amk,36,1,1.178799483,0,1,176
1amk_rdkit_ligand_02,PDB_1amk,36,2,1.025587961,0,1,177
1amk_rdkit_ligand_03,PDB_1amk,36,3,1.213489505,0,1,178
1amk_rdkit_ligand_07,PDB_1amk,36,7,1.139639417,0,1,179
1amk_rdkit_ligand_16,PDB_1amk,36,16,4.5072676,0,1,180
1amk_rdkit_ligand_20,PDB_1amk,36,20,1.38899556,0,1,181
1amw_rdkit_ligand_04,PDB_1amw,37,4,4.779291696,0,1,182
1amw_rdkit_ligand_10,PDB_1amw,37,10,6.567608288,0,1,183
1amw_rdkit_ligand_13,PDB_1amw,37,13,4.713585598,0,1,184
1atl_rdkit_ligand_08,PDB_1atl,38,8,1.682420203,1,1,185
1atl_rdkit_ligand_09,PDB_1atl,38,9,6.226596834,0,1,186
1atl_rdkit_ligand_10,PDB_1atl,38,10,1.355490702,1,1,187
1atl_rdkit_ligand_11,PDB_1atl,38,11,4.55149938,0,1,188
1atl_rdkit_ligand_15,PDB_1atl,38,15,1.536379723,1,1,189
1atl_rdkit_ligand_16,PDB_1atl,38,16,6.379974836,0,1,190
1atr_rdkit_ligand_01,PDB_1atr,39,1,0.527168432,1,1,191
1atr_rdkit_ligand_02,PDB_1atr,39,2,1.724300298,1,1,192
1atr_rdkit_ligand_06,PDB_1atr,39,6,9.93482099,0,1,193
1atr_rdkit_ligand_08,PDB_1atr,39,8,5.715465361,0,1,194
1atr_rdkit_ligand_09,PDB_1atr,39,9,5.92249774,0,1,195
1atr_rdkit_ligand_11,PDB_1atr,39,11,1.829021131,1,1,196
1avn_rdkit_ligand_01,PDB_1avn,40,1,6.840279855,0,1,197
1avn_rdkit_ligand_03,PDB_1avn,40,3,7.026856765,0,1,198
1avn_rdkit_ligand_04,PDB_1avn,40,4,5.093443702,0,1,199
1ax0_rdkit_ligand_01,PDB_1ax0,41,1,0.941065354,0,1,200
1ax0_rdkit_ligand_02,PDB_1ax0,41,2,5.098876223,0,1,201
1ax0_rdkit_ligand_03,PDB_1ax0,41,3,4.50455431,0,1,202
1ax0_rdkit_ligand_04,PDB_1ax0,41,4,4.886948066,0,1,203
1ax0_rdkit_ligand_05,PDB_1ax0,41,5,1.41912715,0,1,204
1azm_rdkit_ligand_04,PDB_1azm,42,4,1.834434245,1,1,205
1azm_rdkit_ligand_06,PDB_1azm,42,6,1.889910051,1,1,206
1azm_rdkit_ligand_07,PDB_1azm,42,7,1.509442944,1,1,207
1azm_rdkit_ligand_08,PDB_1azm,42,8,1.841889227,1,1,208
1azm_rdkit_ligand_12,PDB_1azm,42,12,5.890037449,0,1,209
1azm_rdkit_ligand_14,PDB_1azm,42,14,5.895796077,0,1,210
1azm_rdkit_ligand_15,PDB_1azm,42,15,6.01551379,0,1,211
1b55_rdkit_ligand_01,PDB_1b55,43,1,6.017932417,0,1,212
1b55_rdkit_ligand_03,PDB_1b55,43,3,5.698166554,0,1,213
1b55_rdkit_ligand_04,PDB_1b55,43,4,5.562400224,0,1,214
1b57_rdkit_ligand_01,PDB_1b57,44,1,0.617451132,1,1,215
1b57_rdkit_ligand_02,PDB_1b57,44,2,1.181912645,1,1,216
1b57_rdkit_ligand_03,PDB_1b57,44,3,1.144763469,1,1,217
1b57_rdkit_ligand_04,PDB_1b57,44,4,1.297660896,1,1,218
1b57_rdkit_ligand_07,PDB_1b57,44,7,0.95808533,1,1,219
1b57_rdkit_ligand_08,PDB_1b57,44,8,4.709870083,0,1,220
1b57_rdkit_ligand_11,PDB_1b57,44,11,4.70874977,0,1,221
1b57_rdkit_ligand_12,PDB_1b57,44,12,4.857046695,0,1,222
1b6k_rdkit_ligand_01,PDB_1b6k,45,1,1.869774056,1,1,223
1b6k_rdkit_ligand_03,PDB_1b6k,45,3,1.778319288,1,1,224
1b6k_rdkit_ligand_04,PDB_1b6k,45,4,1.697845694,1,1,225
1b6k_rdkit_ligand_05,PDB_1b6k,45,5,4.937839945,0,1,226
1b6k_rdkit_ligand_06,PDB_1b6k,45,6,1.944629932,1,1,227
1b6k_rdkit_ligand_07,PDB_1b6k,45,7,10.87599294,0,1,228
1b6k_rdkit_ligand_09,PDB_1b6k,45,9,10.78266113,0,1,229
1b6l_rdkit_ligand_01,PDB_1b6l,46,1,8.656881396,0,1,230
1b6l_rdkit_ligand_02,PDB_1b6l,46,2,8.382694036,0,1,231
1b6l_rdkit_ligand_03,PDB_1b6l,46,3,8.785614886,0,1,232
1b6l_rdkit_ligand_10,PDB_1b6l,46,10,1.525729418,1,1,233
1b74_rdkit_ligand_01,PDB_1b74,47,1,6.518126195,0,1,234
1b74_rdkit_ligand_02,PDB_1b74,47,2,6.110474646,0,1,235
1b74_rdkit_ligand_03,PDB_1b74,47,3,6.254931295,0,1,236
1b8n_rdkit_ligand_02,PDB_1b8n,48,2,1.455794302,1,1,237
1b8n_rdkit_ligand_03,PDB_1b8n,48,3,5.917617409,0,1,238
1b8n_rdkit_ligand_04,PDB_1b8n,48,4,6.126425181,0,1,239
1b8n_rdkit_ligand_05,PDB_1b8n,48,5,5.979418253,0,1,240
1b8o_rdkit_ligand_03,PDB_1b8o,49,3,1.55864435,1,1,241
1b8o_rdkit_ligand_04,PDB_1b8o,49,4,1.410018701,1,1,242
1b8o_rdkit_ligand_05,PDB_1b8o,49,5,5.827747832,0,1,243
1b8o_rdkit_ligand_06,PDB_1b8o,49,6,5.982740373,0,1,244
1b8o_rdkit_ligand_07,PDB_1b8o,49,7,5.356670357,0,1,245
1b8y_rdkit_ligand_01,PDB_1b8y,50,1,0.896617425,1,1,246
1b8y_rdkit_ligand_02,PDB_1b8y,50,2,0.951967659,1,1,247
1b8y_rdkit_ligand_03,PDB_1b8y,50,3,0.973662692,1,1,248
1b8y_rdkit_ligand_04,PDB_1b8y,50,4,1.411123039,1,1,249
1b8y_rdkit_ligand_07,PDB_1b8y,50,7,1.953946578,1,1,250
1b8y_rdkit_ligand_13,PDB_1b8y,50,13,10.50319957,0,1,251
1b8y_rdkit_ligand_14,PDB_1b8y,50,14,11.59510533,0,1,252
1b8y_rdkit_ligand_15,PDB_1b8y,50,15,11.17652342,0,1,253
1bcd_rdkit_ligand_01,PDB_1bcd,51,1,1.565280766,1,1,254
1bcd_rdkit_ligand_02,PDB_1bcd,51,2,1.574902894,1,1,255
1bcd_rdkit_ligand_03,PDB_1bcd,51,3,1.579938686,1,1,256
1bcd_rdkit_ligand_04,PDB_1bcd,51,4,1.713387142,1,1,257
1bcd_rdkit_ligand_05,PDB_1bcd,51,5,1.685182891,1,1,258
1bcj_rdkit_ligand_01,PDB_1bcj,52,1,0.97002323,0,1,259
1bcj_rdkit_ligand_02,PDB_1bcj,52,2,5.399519306,0,1,260
1bcj_rdkit_ligand_03,PDB_1bcj,52,3,5.177896458,0,1,261
1bcj_rdkit_ligand_04,PDB_1bcj,52,4,1.380932728,0,1,262
1bcj_rdkit_ligand_05,PDB_1bcj,52,5,5.081436241,0,1,263
1bcj_rdkit_ligand_08,PDB_1bcj,52,8,1.471509882,0,1,264
1bcu_rdkit_ligand_03,PDB_1bcu,53,3,0.324404743,0,1,265
1bcu_rdkit_ligand_04,PDB_1bcu,53,4,0.32489229,0,1,266
1bcu_rdkit_ligand_07,PDB_1bcu,53,7,1.485191044,0,1,267
1bcu_rdkit_ligand_08,PDB_1bcu,53,8,4.564532842,0,1,268
1bcu_rdkit_ligand_09,PDB_1bcu,53,9,4.6042669,0,1,269
1bcu_rdkit_ligand_12,PDB_1bcu,53,12,6.473363939,0,1,270
1bdq_rdkit_ligand_01,PDB_1bdq,54,1,0.415675213,1,1,271
1bdq_rdkit_ligand_02,PDB_1bdq,54,2,0.455913465,1,1,272
1bdq_rdkit_ligand_04,PDB_1bdq,54,4,9.785353667,0,1,273
1bdq_rdkit_ligand_07,PDB_1bdq,54,7,8.978930823,0,1,274
1bdq_rdkit_ligand_13,PDB_1bdq,54,13,4.780248591,0,1,275
1bdq_rdkit_ligand_16,PDB_1bdq,54,16,1.816490333,1,1,276
1bgq_rdkit_ligand_02,PDB_1bgq,55,2,5.398209792,0,1,277
1bgq_rdkit_ligand_03,PDB_1bgq,55,3,4.993643976,0,1,278
1bgq_rdkit_ligand_04,PDB_1bgq,55,4,5.560720443,0,1,279
1bhx_rdkit_ligand_05,PDB_1bhx,56,5,8.356612707,0,1,280
1bhx_rdkit_ligand_09,PDB_1bhx,56,9,7.928458826,0,1,281
1bhx_rdkit_ligand_10,PDB_1bhx,56,10,8.097858168,0,1,282
1bhx_rdkit_ligand_15,PDB_1bhx,56,15,1.246748455,1,1,283
1bju_rdkit_ligand_03,PDB_1bju,57,3,1.064568622,1,1,284
1bju_rdkit_ligand_04,PDB_1bju,57,4,1.04354583,1,1,285
1bju_rdkit_ligand_05,PDB_1bju,57,5,1.072629666,1,1,286
1bju_rdkit_ligand_07,PDB_1bju,57,7,0.994375759,1,1,287
1bju_rdkit_ligand_09,PDB_1bju,57,9,0.710411641,1,1,288
1bju_rdkit_ligand_11,PDB_1bju,57,11,8.664478011,0,1,289
1bju_rdkit_ligand_12,PDB_1bju,57,12,8.688591865,0,1,290
1bju_rdkit_ligand_16,PDB_1bju,57,16,8.554147371,0,1,291
1bjv_rdkit_ligand_01,PDB_1bjv,58,1,7.111775292,0,1,292
1bjv_rdkit_ligand_02,PDB_1bjv,58,2,7.014421534,0,1,293
1bjv_rdkit_ligand_03,PDB_1bjv,58,3,5.132703291,0,1,294
1bjv_rdkit_ligand_09,PDB_1bjv,58,9,0.804115807,1,1,295
1bkj_rdkit_ligand_01,PDB_1bkj,59,1,0.746900628,1,1,296
1bkj_rdkit_ligand_02,PDB_1bkj,59,2,1.176471131,1,1,297
1bkj_rdkit_ligand_03,PDB_1bkj,59,3,4.616102248,0,1,298
1bkj_rdkit_ligand_04,PDB_1bkj,59,4,1.357232252,1,1,299
1bkj_rdkit_ligand_07,PDB_1bkj,59,7,6.202183375,0,1,300
1bkj_rdkit_ligand_08,PDB_1bkj,59,8,5.56877467,0,1,301
1bm7_rdkit_ligand_01,PDB_1bm7,60,1,6.265790365,0,1,302
1bm7_rdkit_ligand_02,PDB_1bm7,60,2,5.624549275,0,1,303
1bm7_rdkit_ligand_03,PDB_1bm7,60,3,6.233246257,0,1,304
1bm7_rdkit_ligand_11,PDB_1bm7,60,11,0.755233739,1,1,305
1bm7_rdkit_ligand_13,PDB_1bm7,60,13,1.424098785,1,1,306
1bma_rdkit_ligand_01,PDB_1bma,61,1,5.204525814,0,1,307
1bma_rdkit_ligand_02,PDB_1bma,61,2,4.726484309,0,1,308
1bma_rdkit_ligand_03,PDB_1bma,61,3,5.740605745,0,1,309
1bma_rdkit_ligand_07,PDB_1bma,61,7,1.445620226,0,1,310
1bn1_rdkit_ligand_01,PDB_1bn1,62,1,5.824968064,0,1,311
1bn1_rdkit_ligand_02,PDB_1bn1,62,2,5.796603131,0,1,312
1bn1_rdkit_ligand_03,PDB_1bn1,62,3,6.356531515,0,1,313
1bn1_rdkit_ligand_05,PDB_1bn1,62,5,1.890912692,1,1,314
1bn1_rdkit_ligand_06,PDB_1bn1,62,6,1.802664932,1,1,315
1bn1_rdkit_ligand_14,PDB_1bn1,62,14,1.795430112,1,1,316
1bn3_rdkit_ligand_01,PDB_1bn3,63,1,4.506942379,0,1,317
1bn3_rdkit_ligand_04,PDB_1bn3,63,4,4.523168935,0,1,318
1bn3_rdkit_ligand_05,PDB_1bn3,63,5,4.589492427,0,1,319
1bn4_rdkit_ligand_01,PDB_1bn4,64,1,6.940350964,0,1,320
1bn4_rdkit_ligand_02,PDB_1bn4,64,2,6.922939831,0,1,321
1bn4_rdkit_ligand_03,PDB_1bn4,64,3,6.341941064,0,1,322
1bn4_rdkit_ligand_05,PDB_1bn4,64,5,1.769686567,1,1,323
1bn4_rdkit_ligand_17,PDB_1bn4,64,17,1.898461279,1,1,324
1bnn_rdkit_ligand_02,PDB_1bnn,65,2,4.705082335,0,1,325
1bnn_rdkit_ligand_03,PDB_1bnn,65,3,5.085848277,0,1,326
1bnn_rdkit_ligand_05,PDB_1bnn,65,5,4.632508274,0,1,327
1bnq_rdkit_ligand_06,PDB_1bnq,66,6,6.660798563,0,1,328
1bnq_rdkit_ligand_07,PDB_1bnq,66,7,6.616485602,0,1,329
1bnq_rdkit_ligand_08,PDB_1bnq,66,8,6.72849711,0,1,330
1bnt_rdkit_ligand_01,PDB_1bnt,67,1,7.935792746,0,1,331
1bnt_rdkit_ligand_03,PDB_1bnt,67,3,7.91673037,0,1,332
1bnt_rdkit_ligand_04,PDB_1bnt,67,4,7.954201885,0,1,333
1bnt_rdkit_ligand_09,PDB_1bnt,67,9,1.525121921,1,1,334
1bnt_rdkit_ligand_11,PDB_1bnt,67,11,1.783267962,1,1,335
1bnu_rdkit_ligand_10,PDB_1bnu,68,10,7.324169183,0,1,336
1bnu_rdkit_ligand_11,PDB_1bnu,68,11,7.382770138,0,1,337
1bnu_rdkit_ligand_17,PDB_1bnu,68,17,7.495052307,0,1,338
1bnv_rdkit_ligand_06,PDB_1bnv,69,6,4.73907805,0,1,339
1bnv_rdkit_ligand_08,PDB_1bnv,69,8,7.402899116,0,1,340
1bnv_rdkit_ligand_11,PDB_1bnv,69,11,4.673305147,0,1,341
1bnw_rdkit_ligand_01,PDB_1bnw,70,1,5.143163679,0,1,342
1bnw_rdkit_ligand_03,PDB_1bnw,70,3,1.949608071,1,1,343
1bnw_rdkit_ligand_04,PDB_1bnw,70,4,7.55040612,0,1,344
1bnw_rdkit_ligand_05,PDB_1bnw,70,5,4.870401334,0,1,345
1bp0_rdkit_ligand_01,PDB_1bp0,71,1,1.793304213,1,1,346
1bp0_rdkit_ligand_02,PDB_1bp0,71,2,4.513268893,0,1,347
